Address,VAT_Status,Property_Description,condition on Property_Description,Size_Description,Price_Euro,Sale_Date,Year,Town
"4 Rye Lane, Millerstown, Maynooth Road",Yes,New Dwelling house /Apartment,0,,356828.19,09-Oct-19,2019,Maynooth
"10 Lyreen Lawn, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,330396.48,11-Dec-19,2019,Maynooth
"28 The Downs, Moyglare Hall, Maynooth",Yes,New Dwelling house /Apartment,0,,484582,14-Jul-20,2020,Maynooth
"1 Carton Wood, Dublin Road, Maynooth",Yes,New Dwelling house /Apartment,0,,383700,01-Aug-19,2019,Maynooth
"34 THE GREEN, NEWTOWN HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,252000,15-Jul-20,2020,Maynooth
"25 CLUAIN AOIBHINN, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,298500,16-Jul-20,2020,Maynooth
"7 ROCKFIELD MANOR, MAYNOOTH, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,456000,12-Nov-20,2020,Maynooth
"20 THE CLOSE, MOYGLARE HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,215000,26-Jul-19,2019,Maynooth
"9 Lyreen Lawn, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,325991,12-Dec-19,2019,Maynooth
"COWANSTOWN, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,315000,12-Dec-19,2019,Maynooth
"12 Lyreen Lawn, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,242487.22,13-Dec-19,2019,Maynooth
"13 Lyreen Glen, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,242487.22,13-Dec-19,2019,Maynooth
"13 Lyreen Lawn, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,242487.22,13-Dec-19,2019,Maynooth
"14 Lyreen Glen, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,242487.22,13-Dec-19,2019,Maynooth
"15 Lyreen Lawn, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,325991,13-Dec-19,2019,Maynooth
"70 MOYGLARE ABBEY, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,345000,29-Jul-20,2020,Maynooth
"16 Lyreen Lawn, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,242487.22,13-Dec-19,2019,Maynooth
"17 Lyreen Lawn, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,242487.22,13-Dec-19,2019,Maynooth
"201 KINGSBRY, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,180000,03-Sep-19,2019,Maynooth
"18 Lyreen Place, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,343611,13-Dec-19,2019,Maynooth
"2 Lyreen Glen, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,242487.22,13-Dec-19,2019,Maynooth
"LEINSTER STREET, MAYNOOTH, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,220000,31-Jul-20,2020,Maynooth
"20 MOYGLARE GREEN, MARIAVILLA, MAYNOOTH",Yes,New Dwelling house /Apartment,0,,350220,04-Aug-20,2020,Maynooth
"7 The Downs, Moyglare Hall, Maynooth",Yes,New Dwelling house /Apartment,0,,405286,04-Aug-20,2020,Maynooth
"26 CHARTER HOUSE, DUNBOYNE ROAD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,182000,13-Dec-19,2019,Maynooth
"81 Carton Wood, Dublin Road, Maynooth",Yes,New Dwelling house /Apartment,0,,411894,07-Aug-20,2020,Maynooth
"1 THE CRESCENT, MOYGLARE HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,330000,10-Aug-20,2020,Maynooth
"9 Lyreen Glen, Mariaville, Maynooth",Yes,New Dwelling house /Apartment,0,,339206,18-Dec-19,2019,Maynooth
"3 BEAUFIELD CRESCENT, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,147500,13-Dec-19,2019,Maynooth
"GRAIGUESALLAGH LODGE, SMITHSTOWN, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,418000,11-Oct-19,2019,Maynooth
"3 Lyreen Glen, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,242487.22,13-Dec-19,2019,Maynooth
"APT 26 THE VIEW, NEWTOWN HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,245000,11-Aug-20,2020,Maynooth
"27 DONADEA, LYREEN MANOR, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,225500,12-Aug-20,2020,Maynooth
"30 THE DRIVE, NEWTOWN HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,360000,14-Aug-20,2020,Maynooth
"6 Lyreen Glen, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,242487.22,13-Dec-19,2019,Maynooth
"7 Lyreen Glen, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,242487.22,13-Dec-19,2019,Maynooth
"9 PARSON ST, MAYNOOTH, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,340000,19-Aug-20,2020,Maynooth
"Unit 1 Mill Gate, Millerstown, Maynooth Road",Yes,New Dwelling house /Apartment,0,,361232,13-Dec-19,2019,Maynooth
"28 THE DRIVE, STRAFFAN WOOD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,238000,15-Oct-19,2019,Maynooth
"1 Lyreen Glen, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,334800,16-Dec-19,2019,Maynooth
"84 MOYGLARE ABBEY, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,449950,21-Aug-20,2020,Maynooth
"11 Lyreen Lawn, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,325991.18,16-Dec-19,2019,Maynooth
"11 BEAUFIELD CRESENT, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,327000,24-Aug-20,2020,Maynooth
"12 Lyreen Close, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,480000,16-Dec-19,2019,Maynooth
"19 LYREEN CLOSE, MARIAVILLE, MAYNOOTH",Yes,New Dwelling house /Apartment,0,,430092,16-Dec-19,2019,Maynooth
"2 Lyreen Lawn, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,325991.19,16-Dec-19,2019,Maynooth
"21 THE CLOSE, STRAFFAN WOOD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,244000,16-Dec-19,2019,Maynooth
"23 CASTLEBRIDGE, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,470000,26-Aug-20,2020,Maynooth
"5 Lyreen Glen, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,339206,16-Dec-19,2019,Maynooth
"151 KINGSBRY, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,430000,27-Aug-20,2020,Maynooth
"80 Carton Wood, Maynooth, Co. Kildare",Yes,New Dwelling house /Apartment,0,,411894,16-Dec-19,2019,Maynooth
"KYLDAR HOUSE APT 13, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,230000,16-Dec-19,2019,Maynooth
"69 SILKEN VALE, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,334000,04-Sep-19,2019,Maynooth
"2 The Meadows, Moyglare Hall, Maynooth",Yes,New Dwelling house /Apartment,0,,312800,22-Aug-19,2019,Maynooth
"169 GRIFFIN RATH HALL, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,292000,16-Oct-19,2019,Maynooth
"5 THE DRIVE, STRAFFAN WOODS, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,245000,28-Aug-20,2020,Maynooth
"18 CHARTER HOUSE, DUNBOYNE RD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,175000,16-Aug-19,2019,Maynooth
"72 MOYGLARE ABBEY, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,415000,17-Dec-19,2019,Maynooth
"34 Lyreen Drive, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,440484,02-Sep-20,2020,Maynooth
"8 The Meadows, Moyglare Hall, Maynooth",Yes,New Dwelling house /Apartment,0,,409691.62,16-Oct-19,2019,Maynooth
"27 THE DOWNS, MOYGLARE HALL, MAYNOOTH",Yes,New Dwelling house /Apartment,0,,389250,03-Sep-20,2020,Maynooth
"13 Lyreen Place, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,339207,18-Dec-19,2019,Maynooth
"14 lyreen close, mariavilla, maynooth",Yes,New Dwelling house /Apartment,0,,422907.49,18-Dec-19,2019,Maynooth
"10 LYREEN PLACE, MARIAVILLA, MAYNOOTH",Yes,New Dwelling house /Apartment,0,,339206,18-Dec-19,2019,Maynooth
"10 THE GARDENS, NEWTOWN HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,427500,18-Dec-19,2019,Maynooth
"10 NEWTOWN COURT, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,330000,08-Sep-20,2020,Maynooth
"12 MOYGLARE APTS, MOYGLARE ROAD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,145000,18-Dec-19,2019,Maynooth
"90 Carton Wood, Dublin Road, Maynooth",Yes,New Dwelling house /Apartment,0,,356828.19,09-Sep-20,2020,Maynooth
"LARAGH, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,400000,09-Sep-20,2020,Maynooth
"20 CASTLEPARK AVE, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,501000,18-Dec-19,2019,Maynooth
"148 KINGSBRY, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,410000,11-Sep-20,2020,Maynooth
"3 MEADOW BROOK LWNS, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,350000,11-Sep-20,2020,Maynooth
"NEWTOWN, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,400000,11-Sep-20,2020,Maynooth
"4 Lyreen Glen, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,334801.76,18-Dec-19,2019,Maynooth
"144 Carton Wood, Dublin Road, Maynooth",Yes,New Dwelling house /Apartment,0,,491629.95,06-Sep-19,2019,Maynooth
"6 Lyreen Lawn, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,330395.85,18-Dec-19,2019,Maynooth
"63 CARTON SQ, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,235000,18-Dec-19,2019,Maynooth
"30 THE GROVE, STRAFFAN WOOD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,228500,06-Sep-19,2019,Maynooth
"16 Moyglare Rise, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,356925.18,16-Dec-20,2020,Maynooth
"7 Moyglare Green, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,350220.26,18-Sep-20,2020,Maynooth
"14 HERITAGE HOUSE, LYREEN MANOR, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,235000,19-Dec-19,2019,Maynooth
"15  HAYFIELD, MAYNOOTH, COUNTY KILDARE",No,Second-Hand Dwelling house /Apartment,1,,317000,21-Sep-20,2020,Maynooth
"18 Moyglare Green, Mariavila, Maynooth",Yes,New Dwelling house /Apartment,0,,350219,22-Sep-20,2020,Maynooth
"3 BROOKFIELD AVE, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,245000,24-Sep-20,2020,Maynooth
"39 CASTLEBRIDGE, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,336500,24-Sep-20,2020,Maynooth
"16 Moyglare Green, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,350220.26,25-Sep-20,2020,Maynooth
"11 MOYGLARE GREEN, MARIAVILLA, MAYNOOTH",Yes,New Dwelling house /Apartment,0,,350220.26,28-Sep-20,2020,Maynooth
"6 Moyclare Green, Mariaville, Maynooth",Yes,New Dwelling house /Apartment,0,,350220.27,28-Sep-20,2020,Maynooth
"3 Lyreen Place, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,422906,03-Nov-20,2020,Maynooth
"835 OLD GREENFIELD, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,217000,22-Oct-19,2019,Maynooth
"21 Moyglare Green, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,352422.85,30-Sep-20,2020,Maynooth
"87 LEINSTER WOOD, CARTON DEMESNE, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,655000,22-Oct-19,2019,Maynooth
"64 SILKEN VALE, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,325000,09-Sep-19,2019,Maynooth
"10 moyglare green, mariavilla, maynooth",Yes,New Dwelling house /Apartment,0,,392070.49,01-Oct-20,2020,Maynooth
"15 Moyglare Green, Mariaville, Maynooth",Yes,New Dwelling house /Apartment,0,,350220.26,01-Oct-20,2020,Maynooth
"25 DONADEA HOUSE, LYREEN MANOR, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,230000,23-Oct-19,2019,Maynooth
"1 Lyreen close, MARIAVELLA, MAYNOOTH",Yes,New Dwelling house /Apartment,0,,422907,02-Oct-20,2020,Maynooth
"13 Moyglare Green, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,350220,02-Oct-20,2020,Maynooth
"20 THE STEEPLES, MOYGLARE ABBEY, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,470000,21-Dec-20,2020,Maynooth
"17 MOYGLARE COURT, MOYGLARE RD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,195000,05-Oct-20,2020,Maynooth
"18 The Green, Ledwill Park, Maynooth",Yes,New Dwelling house /Apartment,0,,286343,20-Dec-19,2019,Maynooth
"20 CARTON SQ, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,235000,20-Dec-19,2019,Maynooth
"8 BEAUFIELD GARDENS, MAYNOOTH, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,310000,05-Oct-20,2020,Maynooth
"15 MAYNOOTH PARK, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,255000,07-Oct-20,2020,Maynooth
"48 RAIL PARK, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,310000,07-Oct-20,2020,Maynooth
"11 BEAUFIELD LAWNS, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,356000,03-Nov-20,2020,Maynooth
"60 SILKEN VALE, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,370000,20-Dec-19,2019,Maynooth
"9 ORMOND HOUSE, LYREEN MANOR, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,239000,19-Aug-19,2019,Maynooth
"1 ROCKFIELD RISE, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,436000,20-Aug-19,2019,Maynooth
"146 Carton Wood, Dublin Road, Maynooth",Yes,New Dwelling house /Apartment,0,,480176.21,11-Sep-19,2019,Maynooth
"1 THE DALE MOYGLARE HALL, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,167500,10-Oct-20,2020,Maynooth
"Unit 4 Lyreen Place, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,422906,20-Dec-19,2019,Maynooth
"8 Moyglare Green, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,350220,12-Oct-20,2020,Maynooth
"4 lyreen lawn, mariavilla, maynooth",Yes,New Dwelling house /Apartment,0,,325991,29-Dec-19,2019,Maynooth
"142 GRIFFIN RATH HALL, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,342000,25-Oct-19,2019,Maynooth
"102 CARTON COURT, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,322170,16-Oct-20,2020,Maynooth
"82 Carton Wood, Maynooth",Yes,New Dwelling house /Apartment,0,,379955.95,07-Jan-20,2020,Maynooth
"6 CLUAIN AOIBHINN, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,335000,08-Jan-20,2020,Maynooth
"9 THE AVENUE, NEWTOWN HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,425000,30-Oct-20,2020,Maynooth
"19 Lyreen Place, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,339206,10-Jan-20,2020,Maynooth
"4 THE PADDOCKS, MOYGLARE ABBEY, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,430000,20-Aug-19,2019,Maynooth
"91 LEINSTER WOOD SOUTH, CARTON DEMESNE MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,638500,24-Jul-19,2019,Maynooth
"32 Lyreen Drive, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,422907.49,22-Oct-20,2020,Maynooth
"124 RAIL PARK, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,277000,23-Oct-20,2020,Maynooth
"14 COLLEGE GREEN, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,279000,15-Jan-20,2020,Maynooth
"6 DILLONS ROW, DUNBOYNE RD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,325000,28-Oct-20,2020,Maynooth
"13 CLUAIN AOIBHINN, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,315000,29-Oct-20,2020,Maynooth
"12 Moyglare Rise, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,356828,04-Dec-20,2020,Maynooth
"19 Moyglare Green, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,350219,29-Oct-20,2020,Maynooth
"11 GERALDINE HOUSE LYREEN MANOR, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,225000,25-Oct-19,2019,Maynooth
"6 the crescent, millerstown, maynooth road",Yes,New Dwelling house /Apartment,0,,356828.2,29-Oct-20,2020,Maynooth
"9 STRAFFAN COURT, STRAFFAN WOOD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,260000,17-Jan-20,2020,Maynooth
"12 Moyglare Green, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,350219,30-Oct-20,2020,Maynooth
"18 THE PARK, MOYGLARE HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,525000,30-Oct-20,2020,Maynooth
"27 THE DRIVE, NEWTOWN HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,270000,23-Sep-19,2019,Maynooth
"22 THE GROVE, STRAFFAN WOOD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,317000,30-Oct-20,2020,Maynooth
"KILMACREDOCK, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,459563,17-Jan-20,2020,Maynooth
"1 STRAFFAN LAWN, STRAFFAN WOOD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,200000,20-Jan-20,2020,Maynooth
"17 Lyreen Close, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,471365.62,20-Jan-20,2020,Maynooth
"5 Moyglare Green, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,350220.25,09-Oct-20,2020,Maynooth
"4 The Meadows, Moyglare Hall, Maynooth",Yes,New Dwelling house /Apartment,0,,333920.69,31-Oct-19,2019,Maynooth
"119 carton wood, dublin road, maynooth",Yes,New Dwelling house /Apartment,0,,392000,13-Sep-19,2019,Maynooth
"2 Lyreen Avenue, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,343612,21-Jan-20,2020,Maynooth
"1 CONVENT LANE, DUNBOYNE ROAD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,265000,03-Nov-20,2020,Maynooth
"69 MAYNOOTH PARK, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,390000,05-Oct-20,2020,Maynooth
"16 Lyreen Close  Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,422907.49,03-Nov-20,2020,Maynooth
"1 Lyreen Lodge, Dunboyne Road, Maynooth",Yes,New Dwelling house /Apartment,0,,396475.77,04-Nov-20,2020,Maynooth
"14 THE CLOSE, MOYGLARE HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,210000,04-Nov-20,2020,Maynooth
"17 moyglare green, mariavilla, maynooth",Yes,New Dwelling house /Apartment,0,,392070.49,05-Nov-20,2020,Maynooth
"6 Lyreen Close, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,422906,02-Oct-20,2020,Maynooth
"40 GREENFIELD DR, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,327000,13-Sep-19,2019,Maynooth
"8 Lyreen Lodge, Dunboyne Road, Maynooth",Yes,New Dwelling house /Apartment,0,,510132,09-Nov-20,2020,Maynooth
"5 Lyreen Close, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,422900,11-Nov-20,2020,Maynooth
"1 THE DRIVE, MOYGLARE HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,550000,12-Nov-20,2020,Maynooth
"21 CARTON GROVE, DUBLIN ROAD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,395000,12-Nov-20,2020,Maynooth
"89 SILKEN VALE, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,120000,12-Nov-20,2020,Maynooth
"1 BEAUFIELD GROVE, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,367000,29-Jan-20,2020,Maynooth
"20 MOYGLARE RISE, MARIAVILLA, MAYNOOTH",Yes,New Dwelling house /Apartment,0,,365638,13-Nov-20,2020,Maynooth
"12 BROOKFIELD PARK, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,305000,10-Sep-19,2019,Maynooth
"8 THE RISE, MOYGLARE HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,410000,13-Nov-20,2020,Maynooth
"26 THE CLOSE, STRAFFAN WOOD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,239000,16-Nov-20,2020,Maynooth
"22 The Downs, Moyglare Hall, Maynooth",Yes,New Dwelling house /Apartment,0,,409691.62,22-Oct-19,2019,Maynooth
"30 THE PADDOCK, MOYGLARE ABBEY, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,410000,04-Nov-19,2019,Maynooth
"2 The Downs, Moyglare Hall, Maynooth",Yes,New Dwelling house /Apartment,0,,396475.76,17-Nov-20,2020,Maynooth
"14 THE GREEN, MOYGLARE HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,500000,16-Dec-20,2020,Maynooth
"5 Lyreen Place, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,428193.82,17-Nov-20,2020,Maynooth
"186 KINGSBURY, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,322000,29-Jul-19,2019,Maynooth
"19 CARTON WOOD, DUBLIN ROAD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,160000,18-Nov-20,2020,Maynooth
"BARROGSTOWN, MAYNOOTH, CO. KILDARE",No,Second-Hand Dwelling house /Apartment,1,,550000,18-Nov-20,2020,Maynooth
"15 Lyreen Glen, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,334802,19-Dec-19,2019,Maynooth
"6 lyreen avenue, mariavilla, maynooth",Yes,New Dwelling house /Apartment,0,,339207.05,15-Jan-20,2020,Maynooth
"1 DEERPARK HOUSE, LYREEN MANOR, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,244000,19-Nov-20,2020,Maynooth
"26 Hayfield, Straffan Road, Maynooth",No,New Dwelling house /Apartment,0,,310000,19-Nov-20,2020,Maynooth
"1 Moyglare Rise, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,366215,20-Nov-20,2020,Maynooth
"225 KINGSBRY MAYNOOTH, CO KILDARE",No,Second-Hand Dwelling house /Apartment,1,,325000,05-Nov-19,2019,Maynooth
"7 THE CLOSE, MOYGLARE HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,320000,05-Nov-19,2019,Maynooth
"FALLMORE VILLA, NEWTOWN, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,315000,22-Aug-19,2019,Maynooth
"15 LEINSTER WOOD, CARTON HOUSE, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,520000,23-Nov-20,2020,Maynooth
"21 Moyglare Rise, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,427312.77,16-Sep-20,2020,Maynooth
"19 Moyglare Rise, Maynooth",Yes,New Dwelling house /Apartment,0,,356828,23-Nov-20,2020,Maynooth
"37 DONADEA HOUSE, LYREEN MANOR, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,346000,23-Nov-20,2020,Maynooth
"8 THE COURT, STRAFFAN WOOD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,283000,11-Sep-20,2020,Maynooth
"28 BROOKFIELD AVE, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,318000,06-Nov-19,2019,Maynooth
"20 MOYGLARE COURT, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,237000,24-Nov-20,2020,Maynooth
"18 Lyreen Lawn, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,321585,18-Dec-19,2019,Maynooth
"16 KINGSBRY, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,260000,10-Feb-20,2020,Maynooth
"34 THE GREEN, MOYGLARE HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,485000,24-Nov-20,2020,Maynooth
"2 rye water, millerstown, maynooth road",Yes,New Dwelling house /Apartment,0,,471365.73,10-Feb-20,2020,Maynooth
"21 ROCKFIELD PARK, MAYNOOTH, KILDARE",No,Second-Hand Dwelling house /Apartment,1,,42867,03-Dec-20,2020,Maynooth
"16 The Downs, Moyglare Hall, Maynooth",Yes,New Dwelling house /Apartment,0,,362000,07-Nov-19,2019,Maynooth
"23 THE CLOSE, STRAFFAN WOOD, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,255000,07-Dec-15,2015,Maynooth
"56 The Green, Moyglare Hall, Moyglare Road  Maynooth",Yes,New Dwelling house /Apartment,0,greater than 125 sq metres,220264.3,03-Mar-10,2010,Maynooth
"5 STRAFFAN LAWNS, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,115000,06-Feb-14,2014,Maynooth
"204 Griffinrath Hall, Maynooth",Yes,New Dwelling house /Apartment,0,greater than or equal to 38 sq metres and less than 125 sq metres,140969,13-Dec-13,2013,Maynooth
"OAKWOOD, NEWTOWN, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,855000,09-Dec-15,2015,Maynooth
"1 THE COURT, MOYGLARE HALL, MAYNOOTH",No,Second-Hand Dwelling house /Apartment,1,,300000,10-Dec-15,2015,Maynooth
"99 Kingsbry, Maynooth",No,Second-Hand Dwelling house /Apartment,1,,256000,05-Feb-16,2016,Maynooth
"14 Moyglare Green, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,350220.26,04-Sep-20,2020,Maynooth
"8 Lyreen Glen, Mariavilla, Maynooth",Yes,New Dwelling house /Apartment,0,,330396,17-Dec-19,2019,Maynooth
